start	end	text
293.000	294.000	Fica aqui no três.
294.000	295.000	Olha pra lá.
295.000	296.000	Conco.
296.000	299.000	Mássla aqui no Nakuister lá dele o quanto isso é que é.
299.000	301.000	Mássla.
301.000	304.000	Mássla lá dele, lá dele.
304.000	305.000	Lá vem.
306.000	307.000	Vai.
307.000	308.000	Oi.
308.000	310.000	Eu gosto mais uma pegada mesmo, carinho.
310.000	311.000	Uma saja, gente.
312.000	313.000	Quer te comer?
314.000	315.000	O lado, ele.
315.000	316.000	Cô está gostando?
316.000	317.000	Rapaz.
318.000	320.000	Te pegou ele na cintura?
320.000	321.000	Qual foi? Não entendi.
321.000	322.000	Quer assim, assim.
322.000	323.000	Tem...
323.000	324.000	Qual foi?
324.000	326.000	Eu não. Tá maluco, tá trabalhando.
327.000	329.000	Ela tô montado a ela de vinte.
332.000	334.000	Pra frente, com o seu sigo, no quanto é o sigo.
334.000	335.000	Fá agitario.
335.000	336.000	Gente.
336.000	339.000	Fogo que arde sem envir.
340.000	343.000	Qual o lugar que se levaria pra ela, pra finalização?
343.000	345.000	Vamos ver que ela tô por.
345.000	346.000	Pra... Pra jantar?
346.000	347.000	Não, pra finalizar.
348.000	349.000	Ou foi pra...
350.000	351.000	Aonde?
351.000	352.000	Praia do Fugate.
353.000	354.000	Se queira.
356.000	357.000	Se queira, gente.
357.000	358.000	Se queira, bitt.
358.000	360.000	Lá vai pague lá, bitt.
361.000	362.000	Mano, lá, goa.
363.000	364.000	Pera aí, gente.
365.000	366.000	O level vai pajantar.
366.000	367.000	O outro fez o jantar.
367.000	369.000	E você já vai jantar, é?
369.000	370.000	Qual lugar?
370.000	371.000	Deiga-se.
373.000	374.000	Com isso?
374.000	376.000	Eu nunca fui a um motel novo.
376.000	379.000	Em São Pedro, mais dizem que é uma melhora que derrigia, né?
379.000	380.000	Então...
380.000	382.000	Não calfa o fúi, mas dizem que é o melhor.
384.000	387.000	Pergunte a cruciala, aquela que vai eliminar
387.000	388.000	maioria dos homens.
388.000	391.000	Quanto tempo é ideal pra ter o ano de incrível contigo?
391.000	394.000	Então, eu não gosto muito demorado, mas eu não gosto muito.
394.000	395.000	Apenas, eu não gosto muito.
395.000	397.000	Pelo menos ali, 40 minutos.
398.000	400.000	Vamos lá, vamos lá, vamos lá, vamos lá.
401.000	402.000	Já ali eu rapazi, óbvio.
402.000	403.000	Vai tomar no cu.
403.000	404.000	Vai ficar solterro.
408.000	410.000	Quarenta minutos tá malo.
410.000	411.000	Meora.
411.000	414.000	Vai ficar solterro por aje da vida.
415.000	416.000	Qual foi?
416.000	417.000	Tem a cuenta?
417.000	420.000	Nesse juntar um poro aqui vai estar 40 minutos.
420.000	422.000	Não, é possível, meu aora, então pelo menos.
422.000	423.000	Meora.
425.000	427.000	Oi, no 25 de opano?
427.000	430.000	Se eu for 25 de opano, esse 5 de opano é 5 metem.
430.000	431.000	Só isso?
431.000	433.000	Só isso, está doido.
433.000	434.000	No metem.
434.000	435.000	Perferem metem?
435.000	436.000	Ah, ah.
436.000	437.000	O que?
439.000	440.000	Ah, foi um perfil, não é?
440.000	441.000	Tem metem.
441.000	443.000	Eu tenho a minha coração, mas tenho a fazer.
443.000	445.000	Ah, tem como não.
445.000	447.000	Não, mas faz os forços, parenta.
447.000	448.000	O oranthel, olha.
448.000	450.000	E traga 37 por 3.
450.000	452.000	37 por 3 metem.
452.000	454.000	Já diminui o 10 por ela, pediu só 30.
455.000	457.000	Trentinha contando o dobe, ó.
457.000	458.000	Tá vindo, vamos marcar.
458.000	461.000	Não, não, 30, desde a hora que começou.
461.000	462.000	Em cabeçor?
462.000	463.000	É.
463.000	465.000	Valeando do mingô.
466.000	468.000	Caralhinho, caralhinho, caralhinho do google.
468.000	469.000	É a civilidade de 30?
469.000	470.000	Se vira no estrem.
470.000	472.000	Tá estudando?
472.000	474.000	Não, já tem nem.
474.000	475.000	Trabalhando?
475.000	476.000	É.
476.000	478.000	Legal, focado não só, hein, não sei.
478.000	479.000	Sim, sim.
479.000	480.000	Legal.
480.000	483.000	Tu faria um privas.
483.000	486.000	Com ela?
486.000	489.000	Em um sensal, eu faz, em um sensal, eu vou.
489.000	491.000	Faria, por.
491.000	492.000	Faria?
492.000	495.000	Faria, mas eu fotei em este com caralhinho.
495.000	496.000	Com ele.
496.000	498.000	Se eu tivesse um privas faria.
498.000	499.000	Caralhinho.
499.000	501.000	Você gerai já é um ap...
501.000	503.000	Ela quer crescer em uma parceria boa.
503.000	505.000	Ó, ótima parceria, foi lá.
505.000	506.000	E que parceria?
506.000	508.000	Calma gente, estamos contendo.
508.000	509.000	Tá lá.
509.000	510.000	Foi?
510.000	512.000	Tá da linda começando a partir de...
512.000	514.000	Tá lá, capa o coração, tá lá.
514.000	517.000	Pensa na canta da boa volta já já.
517.000	519.000	Tu é do jujito.
519.000	520.000	Passa não?
520.000	521.000	Não, não faria o tamanho.
521.000	523.000	Não só vamos esclarar o mesmo.
523.000	524.000	Escolação?
524.000	525.000	Já não tá indo.
525.000	526.000	É, não.
526.000	527.000	Parei de...
527.000	529.000	Carma, grim.
529.000	531.000	Você tá caralhinho, também.
531.000	533.000	Tá fazendo uma situação?
533.000	534.000	É, mas não tem o seu pedindo, né.
534.000	538.000	Não, mas é que vocês focam na bunda e eles nos braçam no peito, né.
538.000	539.000	E aí?
539.000	541.000	Não, que eu tenho de braça, eu tenho de bunda, evidente.
541.000	542.000	E aí, faz a gente...
542.000	545.000	Caralhis agirou pra caralhão.
545.000	550.000	Tinha ver tu as costas.
550.000	551.000	Tinha ver tu as costas.
551.000	554.000	Tinha...
554.000	557.000	Tinha...
557.000	560.000	Tinha aqui no treis rapidinho, que eles me deram mais dea boa.
560.000	563.000	Olha pra frente, vem cá, transgumir.
563.000	566.000	Mas, safé ela, joga o cabelo do outro lado, mas, por favor.
566.000	567.000	Doutos.
567.000	569.000	Mas safé ela.
569.000	572.000	O rigido do leão.
572.000	575.000	Mas, safé no vídeo, hein, bebeça ela gosta.
575.000	576.000	Ação.
576.000	578.000	O...
578.000	580.000	Repiói, meu.
580.000	582.000	Repiói, vale a patrâncio.
584.000	586.000	Oitavive.
586.000	588.000	Pagote.
588.000	589.000	Bastante.
589.000	592.000	Jogamos aqui do curso pra ela.
592.000	595.000	O nosso primeiro beijo.
595.000	599.000	Eu vou ser uma casinha, geladeira cheia,
599.000	603.000	do medio com a chinha, depois de uma brincadeira.
603.000	606.000	Sabe o que está faltando?
607.000	610.000	O nosso primeiro beijo.
610.000	612.000	O nosso primeiro beijo.
612.000	614.000	O nosso primeiro beijo.
614.000	615.000	O nosso primeiro beijo.
615.000	617.000	O nosso primeiro beijo.
617.000	618.000	O nosso primeiro, hein?
618.000	622.000	Eu vou ser uma casinha, geladeira cheia,
622.000	625.000	do medio com a chinha, depois de uma brincadeira.
625.000	627.000	Sabe o que está?
627.000	630.000	O nosso primeiro beijo.
630.000	632.000	O nosso primeiro beijo.
638.000	641.000	Tu já deu o primeiro beijo hoje, abriada?
641.000	643.000	Puntar aqui.
643.000	647.000	Puntar lá, vai, vai, vai.
647.000	649.000	Rapaz.
651.000	653.000	É ligado.
653.000	656.000	O nosso primeiro beijo.
656.000	661.000	O nosso primeiro beijo.
661.000	663.000	O nosso primeiro beijo.
663.000	668.000	E a outra gente não ia pinar a vacão, bapor.
668.000	670.000	Olha pra ela.
670.000	672.000	Faça.
672.000	675.000	A gente não está esperando nada de você.
675.000	677.000	Então tenta não estragar tudo.
677.000	680.000	Faça sua melhor cantada.
680.000	683.000	Ele só está dando voodim pra danche pirado.
683.000	684.000	Que é que é que deu a volta?
684.000	686.000	Dá a volta e pra vir a alvisar o vídeo.
691.000	692.000	Qual foi?
692.000	695.000	Dá a puxar deinguim pra danche pirado aqui.
695.000	696.000	Tô é a asmático?
696.000	698.000	Você cancela, não é?
700.000	703.000	Faça sua melhor cantada.
703.000	705.000	Pena de urbú, aza de galinha.
705.000	708.000	Se você quer mandar um beijo, dá uma resadinha.
711.000	714.000	Não, ela rima, está.
716.000	718.000	Calma.
718.000	720.000	De ela que vai escolher, gente.
720.000	722.000	Olha, eu achei diferente, realmente.
722.000	726.000	Não esperava em 2025, algo tão.
726.000	729.000	É muito bom, vai lá pra trás.
729.000	730.000	Caralho.
730.000	732.000	Faça sua melhor cantada.
732.000	734.000	Gata, você gosta do barulho do mar.
734.000	736.000	Curte o barulho do mar.
736.000	738.000	Sim, por quê?
738.000	740.000	Então, vamos dormir de coixinha.
742.000	745.000	Olha, essa imérsara, essa mamada, essa carco.
746.000	750.000	Essa é muito diferente, mas porque a coixinha já é piado.
750.000	752.000	Baulho do mar em volta e muito.
752.000	754.000	E eu gostei de uma coisa dele.
754.000	756.000	Tô, não estou fazendo favoritismo, não.
756.000	758.000	Mas ele tem muito foco.
758.000	760.000	Ficou te olho no uso.
760.000	763.000	De olho em um cara me olha, olha, olha.
763.000	766.000	Ele nem o meu caminho, ele ficou assim, falou, falou, falou.
766.000	767.000	Não sei o lugar tudo.
767.000	770.000	Faça, a sua melhor cantada.
770.000	772.000	Você gosta de pipoca.
775.000	776.000	Gosta de pipoca.
776.000	778.000	Tera aí, gente.
780.000	781.000	Gosta de pipoca?
781.000	783.000	Gosta, por quê?
783.000	787.000	Vamos fazer igual, primeiro a gente aqui, depois a poca, póca, póca, póca, póca.
787.000	789.000	Tô, tchau.
791.000	793.000	Puta aqui, pariu.
793.000	794.000	Vai lá pra trás.
795.000	797.000	Cano que ele é ativo, né?
797.000	798.000	Tá ficando com quem?
802.000	804.000	Esca também com a memorando.
809.000	811.000	Faça a sua melhor cantada.
811.000	814.000	Gata, eu queria hoje estar apresentando o show no lugar do rap, sabe por quê?
814.000	815.000	Por quê?
815.000	818.000	Porque eu queria chegar naquela parte de de pergonso.
818.000	820.000	Qual é essa melhor posição de descobrir isso aqui?
820.000	821.000	Você gosta de verdade.
825.000	826.000	Vai lá pra trás.
828.000	829.000	Vai lá pra trás.
831.000	834.000	Ele falou assim, eu queria estar no lugar do rap,
834.000	838.000	só pra chegar na hora de perguntar qual a sua melhor posição
838.000	841.000	e descobrir se essa sua posição de verdade do tipo,
841.000	842.000	ele vai perguntar.
842.000	844.000	Ninguém entendeu também não.
844.000	846.000	Eu também não entendi, gente.
846.000	847.000	Desculpe.
847.000	849.000	Ele já foi lá pra trás.
849.000	850.000	Vamos parar de uma ilhação.
851.000	853.000	Faça seu segundo, melhor vez.
855.000	857.000	Faça seu melhor cantada.
857.000	859.000	De cantado, eu não sou muito bom não.
859.000	860.000	Mas você usa creme.
861.000	863.000	Usa creme?
863.000	865.000	Usa creme, por quê?
865.000	866.000	E eu sei.
870.000	871.000	Não é ruim.
872.000	873.000	Tá?
874.000	876.000	Vai lá pra trás.
878.000	881.000	Foi foda pra godere falar que não é bom de cantada, né?
881.000	883.000	Aí ele já vai acelou de novo.
883.000	885.000	Fala, chega o momento mais delicato.
886.000	888.000	Tem cinco possibilidades.
889.000	890.000	Tá?
890.000	891.000	Uma possibilidade.
892.000	893.000	De um segundo vez.
895.000	898.000	Mas possibilidade de um um trado torneibras.
900.000	903.000	Uma senhora cantada da tipoca, eu achei incrível também.
903.000	906.000	Um foco decisão e um...
908.000	910.000	E um caracé dedicato.
910.000	915.000	Que ele é empenhado, que é capaz de ter que parar o sexo pra poder fazer o.
917.000	919.000	Só na bombinha.
919.000	921.000	Um, tá na bombinha.
921.000	922.000	Vai lá.
922.000	924.000	Ele me na colocando a mão nombro.
924.000	925.000	Pode?
929.000	932.000	Por mim, ninguém mais genal.
937.000	939.000	É verdade, ele já beijo.
940.000	942.000	E perdeu o sambagona.
942.000	944.000	Fuita a tipália.
944.000	945.000	Vai lá.
948.000	949.000	O que foi?
949.000	953.000	Ele ficou sem as duas pessoas que eu teve ficado com ela, que ia trazer outra.
955.000	958.000	Por gostei dela, que ela encrenheira, né?
958.000	959.000	Vai lá.
959.000	961.000	Deixa eu um, deixa eu um caracé.
962.000	964.000	Pedeu, por bom bem, cara.
967.000	968.000	Vai lá.
970.000	973.000	Na... porra.
976.000	978.000	Ou ela não te viu aí.
980.000	982.000	Temos duas opções saudáveis e o bom bem.
984.000	986.000	Vamos ver se ele é lucido.
986.000	987.000	Vai lá.
990.000	992.000	Pude a tipália.
995.000	997.000	Oi, a tipoca não era o bom bem.
998.000	999.000	Pude, poca ela faz em casa.
1001.000	1004.000	Pude, o nome fez a indira, foi desistir.
1004.000	1005.000	Não, eu apostasse.
1005.000	1007.000	Ele conto, bom, posso estar sem...
1007.000	1009.000	Não, sem conta, mas colas.
1009.000	1011.000	Ele quer, assim, então, mas sem conta, posso desistir.
1012.000	1014.000	Cara, olha só, isso é esse final.
1014.000	1016.000	Nem os melhores roteiristas de Netflix,
1017.000	1019.000	prepararem o final desse.
1022.000	1024.000	Vou casar, sem conta, não te gringam contigo.
1024.000	1027.000	Eu acho que é você.
1028.000	1030.000	Não por nada, só, mas é mais pelo...
1031.000	1032.000	Gente.
1033.000	1035.000	Vamos ver o que que vai dar.
1035.000	1037.000	Tinha fazer uma cabeça dela aqui, vem carpe de...
1039.000	1041.000	Tem alguém, né?
1041.000	1043.000	Está cortando a conta, sendo muita coisa que...
1044.000	1047.000	Se ele vai ser tão longe, pode desistir dela.
1048.000	1050.000	Pode prejudicar a respiração da...
1050.000	1054.000	Então, assim, podia ter eliminado o ano em mim.
1056.000	1059.000	Então, deixa aquele que você fala assim, esse eu pego.
1066.000	1068.000	Deixa um, deixa aquele que você quer.
1069.000	1071.000	Aquele que você vai dar um beijo na boca agora.
1073.000	1076.000	Porque, vem, puxando o bom dia, o bom...
1081.000	1083.000	Puta aqui, Paris!
1087.000	1088.000	Você não está?
1088.000	1090.000	É, pode ser caralho.
1090.000	1091.000	Ele me...
1094.000	1096.000	Faz a bomba, faz a bomba.
1096.000	1098.000	Me dá um... Não te aqui, não te aqui.
1099.000	1101.000	Tiga aqui, vico aqui.
1102.000	1105.000	Nem deixa ela tiver muito diferente agora, que você...
1106.000	1109.000	Foi luz, foi câmera, ação.
1110.000	1111.000	Você não está?
1134.000	1136.000	Não parece que ele nunca chegou na sua parte, né?
1141.000	1143.000	Que que que você faz?
1149.000	1150.000	Beijora?
1151.000	1153.000	Beijora, beijora.
1155.000	1156.000	Esse cria é eu...
1157.000	1159.000	Se ele voltar, ele pode mostrar como faz?
1160.000	1161.000	Vote.
1165.000	1166.000	Já sai.
1166.000	1170.000	Cara, puta aqui, Paris!
1171.000	1173.000	Puta aqui, Paris!
1181.000	1183.000	Vai tocar mais que eu tinha novo.
1183.000	1185.000	Apaga luz, pra eles.
1189.000	1192.000	Deixa bem, esse cura que ela não vê muito também.
1192.000	1193.000	Ação.
1196.000	1222.560	劫 Cannon И
